location,name,dm,cost_date,dcp_food,dcp_paper,dcp_supplies,br_supplies,sales_tax_dcp,for_the_week_end,production,total_food_cost,total_paper_cost,flash_food_total
355212,,,2025-10-08,3297.71,314.97,124.82,0,8.73,3746.23,0,3306.44,439.79,3746.23
348176,"25 North Salem Rd, CR",Brad McAllister,2025-10-08,0,0,0,0,0,0,170.78,170.78,0,170.78
310249,"755 North Broadway, WP",Brad McAllister,2025-10-08,0,0,0,0,0,0,114.36,114.36,0,114.36
310225,5 Goldens Bridge,Brad McAllister,2025-10-08,0,0,0,0,0,0,179.42,179.42,0,179.42
344719,"80 N. State Rd, Br Man",Brad McAllister,2025-10-08,0,0,0,0,0,0,241.58,241.58,0,241.58
330441,"42 Lake Str, WP",Brad McAllister,2025-10-08,0,0,0,0,0,0,210.93,210.93,0,210.93
348508,"681 East Main Str, MK",Brad McAllister,2025-10-08,0,0,0,0,0,0,175.09,175.09,0,175.09
330429,"570 Mamaroneck Ave, WP",Brad McAllister,2025-10-08,0,0,0,0,0,0,547.74,547.74,0,547.74
345229,"137 Wildey Str, Tarrytown",Brad McAllister,2025-10-08,0,0,0,0,0,0,167.58,167.58,0,167.58
331260,"505A Bedford Rd, Pl",Brad McAllister,2025-10-08,0,0,0,0,0,0,168.96,168.96,0,168.96
345300,"425 Central Park Ave, WP",Brad McAllister,2025-10-08,0,0,0,0,0,0,148.66,148.66,0,148.66
346154,"2 Washington Ave, Pl",Brad McAllister,2025-10-08,0,0,0,0,0,0,227.32,227.32,0,227.32
349940,"101 S. Main Str, Mauldin",Brianna Royster,2025-10-08,3466.28,561.84,318.06,0,18.1,4364.28,0,3484.38,879.9,4364.28
356343,"722 Grove Rd, Greenville",Brianna Royster,2025-10-08,3703.49,510.38,177.95,0,12.35,4404.17,0,3715.84,688.33,4404.17
330220,"1779 Woodruff Rd, Greenv",Brianna Royster,2025-10-08,2010.62,297.31,51.01,0,4.07,2363.01,0,2014.69,348.32,2363.01
346640,"1520 East Main Str, Duncan",Brianna Royster,2025-10-08,4352.25,781.59,114.4,0,5.5,5253.74,0,4357.75,895.99,5253.74
346538,"697 Fairway Rd, Simps.",Brianna Royster,2025-10-08,1976.52,413.07,278.37,0,16.7,2684.66,0,1993.22,691.44,2684.66
345003,"10 Depot Way, Scarsdale",Dan Castriota,2025-10-08,0,0,0,0,0,0,207.92,207.92,0,207.92
300241,"300241 -260 Halstead Ave, Harrison",Dan Castriota,2025-10-08,0,0,0,0,0,0,338.38,338.38,0,338.38
335687,"38 Mill Rd, Eastchester",Dan Castriota,2025-10-08,0,0,0,0,0,0,347.25,347.25,0,347.25
310000,"646 North Ave,New Rochelle",Dan Castriota,2025-10-08,0,0,0,0,0,0,386.56,386.56,0,386.56
351953,"1333 North Ave, NR",Dan Castriota,2025-10-08,0,0,0,0,0,0,149.5,149.5,0,149.5
351044,"1481 Weaver Rd, Scarsdale",Dan Castriota,2025-10-08,0,0,0,0,0,0,0,0,0,0
302692,"302692 -50 Mamaroneck Ave, WP",Dan Castriota,2025-10-08,0,0,0,0,0,0,285.95,285.95,0,285.95
335404,"East Sanford Blvd, Mt.Vern",Imran Tayyab,2025-10-08,0,0,0,0,0,0,134.21,134.21,0,134.21
304622,"4090 Boston Post Rd, Bronx",Imran Tayyab,2025-10-08,0,0,0,0,0,0,73.94,73.94,0,73.94
332150,"1780 East Gun Hill Rd, Bx",Imran Tayyab,2025-10-08,0,0,0,0,0,0,244.68,244.68,0,244.68
338698,"2241 Southern Blvd, Bronx",Imran Tayyab,2025-10-08,0,0,0,0,0,0,209.54,209.54,0,209.54
340462,"1040 Westch. Ave, Bronx",Imran Tayyab,2025-10-08,0,0,0,0,0,0,38.93,38.93,0,38.93
345684,"680 Centr Park Ave, Yonk",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,175.33,175.33,0,175.33
332995,"850 Bronx Riv Rd, Yonk",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,222.36,222.36,0,222.36
359494,"987 Cent Park Ave, Yonk",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,244.28,244.28,0,244.28
332974,"132 Bronx Riv Rd, Yonk",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,164.7,164.7,0,164.7
307075,"132 Tuckahoe Road, Yonkers",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,164.75,164.75,0,164.75
340194,FAC 2365 CPA LLC,Irfan Mamsa,2025-10-08,0,0,0,0,0,0,121.47,121.47,0,121.47
349796,"296 McLean Ave, Yonkers",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,150.3,150.3,0,150.3
331196,"710 McLean Ave, Yonkers",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,146.24,146.24,0,146.24
354655,"1 Pallisade Ave, Getty Sq",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,175.91,175.91,0,175.91
